Ranking,movieName,director,rating,imageURL
26,触不可及,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...",9.3,https://movie.douban.com/subject/6786002/
27,蝙蝠侠：黑暗骑士,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...",9.2,https://movie.douban.com/subject/1851857/
28,末代皇帝,"
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...",9.3,https://movie.douban.com/subject/1293172/
29,寻梦环游记,"
                            导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...",9.1,https://movie.douban.com/subject/20495023/
30,活着,"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang",9.3,https://movie.douban.com/subject/1292365/
31,何以为家,"
                            导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...",9.1,https://movie.douban.com/subject/30170448/
32,乱世佳人,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...",9.3,https://movie.douban.com/subject/1300267/
33,哈利·波特与魔法石,"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint",9.1,https://movie.douban.com/subject/1295038/
34,指环王3：王者无敌,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",9.2,https://movie.douban.com/subject/1291552/
35,飞屋环游记,"
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...",9.0,https://movie.douban.com/subject/2129039/
36,摔跤吧！爸爸,"
                            导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...",9.0,https://movie.douban.com/subject/26387939/
37,素媛,"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...",9.3,https://movie.douban.com/subject/21937452/
38,少年派的奇幻漂流,"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...",9.1,https://movie.douban.com/subject/1929463/
39,十二怒汉,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...",9.4,https://movie.douban.com/subject/1293182/
40,哈尔的移动城堡,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...",9.1,https://movie.douban.com/subject/1308807/
41,鬼子来了,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...",9.3,https://movie.douban.com/subject/1291858/
42,我不是药神,"
                            导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...",9.0,https://movie.douban.com/subject/26752088/
43,大话西游之月光宝盒,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...",9.0,https://movie.douban.com/subject/1299398/
44,天空之城,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...",9.1,https://movie.douban.com/subject/1291583/
45,罗马假日,"
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...",9.0,https://movie.douban.com/subject/1293839/
46,闻香识女人,"
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...",9.1,https://movie.douban.com/subject/1298624/
47,辩护人,"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...",9.2,https://movie.douban.com/subject/21937445/
48,天堂电影院,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...",9.2,https://movie.douban.com/subject/1291828/
49,猫鼠游戏,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...",9.0,https://movie.douban.com/subject/1305487/
50,大闹天宫,"
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...",9.4,https://movie.douban.com/subject/1418019/
51,钢琴家,"
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...",9.2,https://movie.douban.com/subject/1296736/
52,指环王2：双塔奇兵,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",9.1,https://movie.douban.com/subject/1291572/
53,教父2,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...",9.2,https://movie.douban.com/subject/1299131/
54,狮子王,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...",9.1,https://movie.douban.com/subject/1301753/
55,搏击俱乐部,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...",9.0,https://movie.douban.com/subject/1292000/
56,死亡诗社,"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...",9.1,https://movie.douban.com/subject/1291548/
57,黑客帝国,"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...",9.0,https://movie.douban.com/subject/1291843/
58,指环王1：护戒使者,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",9.0,https://movie.douban.com/subject/1291571/
59,让子弹飞,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...",8.9,https://movie.douban.com/subject/3742360/
60,绿皮书,"
                            导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...",8.9,https://movie.douban.com/subject/27060077/
61,饮食男女,"
                            导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...",9.1,https://movie.douban.com/subject/1291818/
62,美丽心灵,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...",9.0,https://movie.douban.com/subject/1306029/
63,窃听风暴,"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...",9.2,https://movie.douban.com/subject/1900841/
64,海蒂和爷爷,"
                            导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...",9.2,https://movie.douban.com/subject/25958717/
65,两杆大烟枪,"
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran",9.1,https://movie.douban.com/subject/1293350/
66,本杰明·巴顿奇事,"
                            导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...",8.9,https://movie.douban.com/subject/1485260/
67,看不见的客人,"
                            导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...",8.8,https://movie.douban.com/subject/26580232/
68,飞越疯人院,"
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...",9.1,https://movie.douban.com/subject/1292224/
69,西西里的美丽传说,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...",8.9,https://movie.douban.com/subject/1292402/
70,穿条纹睡衣的男孩,"
                            导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...",9.1,https://movie.douban.com/subject/3008247/
71,拯救大兵瑞恩,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...",9.0,https://movie.douban.com/subject/1292849/
72,小鞋子,"
                            导演: 马基德·马基迪 Majid Majidi   主演: 法拉赫阿米尔·哈什米安 Amir Fa...",9.2,https://movie.douban.com/subject/1303021/
73,音乐之声,"
                            导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...",9.1,https://movie.douban.com/subject/1294408/
74,情书,"
                            导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...",8.9,https://movie.douban.com/subject/1292220/
75,海豚湾,"
                            导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...",9.3,https://movie.douban.com/subject/3442220/
76,阿凡达,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...",8.8,https://movie.douban.com/subject/1652587/
77,致命魔术,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...",8.9,https://movie.douban.com/subject/1780330/
78,美国往事,"
                            导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...",9.2,https://movie.douban.com/subject/1292262/
79,沉默的羔羊,"
                            导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...",8.9,https://movie.douban.com/subject/1293544/
80,禁闭岛,"
                            导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...",8.8,https://movie.douban.com/subject/2334904/
81,低俗小说,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...",8.9,https://movie.douban.com/subject/1291832/
82,蝴蝶效应,"
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...",8.8,https://movie.douban.com/subject/1292343/
83,心灵捕手,"
                            导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...",8.9,https://movie.douban.com/subject/1292656/
84,布达佩斯大饭店,"
                            导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...",8.9,https://movie.douban.com/subject/11525673/
85,七宗罪,"
                            导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...",8.8,https://movie.douban.com/subject/1292223/
86,春光乍泄,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...",8.9,https://movie.douban.com/subject/1292679/
87,哈利·波特与死亡圣器(下),"
                            导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...",8.9,https://movie.douban.com/subject/3011235/
88,摩登时代,"
                            导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...",9.3,https://movie.douban.com/subject/1294371/
89,被嫌弃的松子的一生,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...",8.9,https://movie.douban.com/subject/1787291/
90,喜剧之王,"
                            导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...",8.8,https://movie.douban.com/subject/1302425/
91,致命ID,"
                            导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...",8.8,https://movie.douban.com/subject/1297192/
92,杀人回忆,"
                            导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...",8.9,https://movie.douban.com/subject/1300299/
93,剪刀手爱德华,"
                            导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...",8.7,https://movie.douban.com/subject/1292370/
94,加勒比海盗,"
                            导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...",8.8,https://movie.douban.com/subject/1298070/
95,勇敢的心,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...",8.9,https://movie.douban.com/subject/1294639/
96,狩猎,"
                            导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...",9.1,https://movie.douban.com/subject/6985810/
97,请以你的名字呼唤我,"
                            导演: 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...",8.9,https://movie.douban.com/subject/26799731/
98,红辣椒,"
                            导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...",9.0,https://movie.douban.com/subject/1865703/
99,断背山,"
                            导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...",8.8,https://movie.douban.com/subject/1418834/
100,天使爱美丽,"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...",8.7,https://movie.douban.com/subject/1292215/
101,7号房的礼物,"
                            导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...",8.9,https://movie.douban.com/subject/10777687/
102,幽灵公主,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...",8.9,https://movie.douban.com/subject/1297359/
103,小森林 夏秋篇,"
                            导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...",9.0,https://movie.douban.com/subject/25814705/
104,第六感,"
                            导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...",8.9,https://movie.douban.com/subject/1297630/
105,阳光灿烂的日子,"
                            导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao",8.8,https://movie.douban.com/subject/1291875/
106,重庆森林,"
                            导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...",8.8,https://movie.douban.com/subject/1291999/
107,唐伯虎点秋香,"
                            导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...",8.7,https://movie.douban.com/subject/1306249/
108,超脱,"
                            导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...",8.9,https://movie.douban.com/subject/5322596/
109,功夫,"
                            导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...",8.7,https://movie.douban.com/subject/1291543/
110,爱在黎明破晓前,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...",8.8,https://movie.douban.com/subject/1296339/
111,小森林 冬春篇,"
                            导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...",9.0,https://movie.douban.com/subject/25814707/
112,入殓师,"
                            导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...",8.9,https://movie.douban.com/subject/2149806/
113,一一,"
                            导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...",9.1,https://movie.douban.com/subject/1292434/
114,蝙蝠侠：黑暗骑士崛起,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...",8.8,https://movie.douban.com/subject/3395373/
115,消失的爱人,"
                            导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...",8.7,https://movie.douban.com/subject/21318488/
116,人生果实,"
                            导演: 伏原健之 Kenshi Fushihara   主演: 津端修一 Shûichi Tsubata / 津...",9.5,https://movie.douban.com/subject/26874505/
117,菊次郎的夏天,"
                            导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...",8.8,https://movie.douban.com/subject/1293359/
118,无人知晓,"
                            导演: 是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira / 北浦爱...",9.1,https://movie.douban.com/subject/1292337/
119,倩女幽魂,"
                            导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...",8.7,https://movie.douban.com/subject/1297447/
120,超能陆战队,"
                            导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...",8.7,https://movie.douban.com/subject/11026735/
121,侧耳倾听,"
                            导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...",8.9,https://movie.douban.com/subject/1297052/
122,哈利·波特与阿兹卡班的囚徒,"
                            导演: Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...",8.8,https://movie.douban.com/subject/1291544/
123,甜蜜蜜,"
                            导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...",8.9,https://movie.douban.com/subject/1305164/
124,借东西的小人阿莉埃蒂,"
                            导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...",8.8,https://movie.douban.com/subject/4202302/
125,完美的世界,"
                            导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...",9.1,https://movie.douban.com/subject/1300992/
126,萤火之森,"
                            导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...",8.9,https://movie.douban.com/subject/5989818/
127,爱在日落黄昏时,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...",8.8,https://movie.douban.com/subject/1291990/
128,驯龙高手,"
                            导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...",8.7,https://movie.douban.com/subject/2353023/
129,玛丽和马克思,"
                            导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...",8.9,https://movie.douban.com/subject/3072124/
130,幸福终点站,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...",8.8,https://movie.douban.com/subject/1292274/
131,告白,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...",8.7,https://movie.douban.com/subject/4268598/
132,大鱼,"
                            导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...",8.8,https://movie.douban.com/subject/1291545/
133,射雕英雄传之东成西就,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...",8.7,https://movie.douban.com/subject/1316510/
134,阳光姐妹淘,"
                            导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...",8.8,https://movie.douban.com/subject/4917726/
135,天书奇谭,"
                            导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian   主演: 丁建华 Jianhua Din...",9.2,https://movie.douban.com/subject/1428581/
136,恐怖直播,"
                            导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...",8.7,https://movie.douban.com/subject/21360417/
137,怪兽电力公司,"
                            导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...",8.7,https://movie.douban.com/subject/1291579/
138,哈利·波特与密室,"
                            导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...",8.7,https://movie.douban.com/subject/1296996/
139,神偷奶爸,"
                            导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...",8.6,https://movie.douban.com/subject/3287562/
140,时空恋旅人,"
                            导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...",8.8,https://movie.douban.com/subject/10577869/
141,玩具总动员3,"
                            导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...",8.9,https://movie.douban.com/subject/1858711/
142,傲慢与偏见,"
                            导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...",8.7,https://movie.douban.com/subject/1418200/
143,教父3,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...",8.9,https://movie.douban.com/subject/1294240/
144,釜山行,"
                            导演: 延尚昊 Sang-ho Yeon   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...",8.6,https://movie.douban.com/subject/25986180/
145,血战钢锯岭,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...",8.7,https://movie.douban.com/subject/26325320/
146,哪吒闹海,"
                            导演: 严定宪 Dingxian Yan / 王树忱 Shuchen Wang   主演: 梁正晖 Zhenghui ...",9.1,https://movie.douban.com/subject/1307315/
147,一个叫欧维的男人决定去死,"
                            导演: 汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...",8.9,https://movie.douban.com/subject/26628357/
148,被解救的姜戈,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /...",8.8,https://movie.douban.com/subject/6307447/
149,七武士,"
                            导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...",9.3,https://movie.douban.com/subject/1295399/
150,喜宴,"
                            导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...",8.9,https://movie.douban.com/subject/1303037/
151,电锯惊魂,"
                            导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...",8.7,https://movie.douban.com/subject/1417598/
152,头号玩家,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri...",8.7,https://movie.douban.com/subject/4920389/
153,我是山姆,"
                            导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi...",9.0,https://movie.douban.com/subject/1306861/
154,风之谷,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...",8.9,https://movie.douban.com/subject/1291585/
155,未麻的部屋,"
                            导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...",9.0,https://movie.douban.com/subject/1395091/
156,英雄本色,"
                            导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...",8.7,https://movie.douban.com/subject/1297574/
157,上帝之城,"
                            导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...",9.0,https://movie.douban.com/subject/1292208/
158,疯狂原始人,"
                            导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...",8.7,https://movie.douban.com/subject/1907966/
159,谍影重重3,"
                            导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...",8.8,https://movie.douban.com/subject/1578507/
160,卢旺达饭店,"
                            导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...",8.9,https://movie.douban.com/subject/1291822/
161,三块广告牌,"
                            导演: 马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...",8.7,https://movie.douban.com/subject/26611804/
