info_desc,job_name,money,name,tags
节日福利，带薪年假，免费班车，餐补，定期体检，五险一金，零食下午茶，年终奖，加班补助，交通补助，补充医疗保险，通讯补贴,软件开发工程师（C/C++/Go/Python）,12-18K·14薪,博观智能,微服务架构RedisSQLiteLinux
五险一金，定期体检，节日福利，通讯补贴，餐补，交通补助,java/python工程师,10-15K,骏腾科技,Java
,Python工程师,9-14K,智洋创新,Linux
带薪年假，五险一金，餐补，零食下午茶，节日福利，股票期权，定期体检，加班补助,少儿编程实习讲师python java c,6-11K,童程童美青少儿编程,JavaJavaScriptPythonC++教育教学 讲师Python工程师后端开发
加班补助，股票期权，节日福利，交通补助，年终奖，五险一金，全勤奖，定期体检,Python工程师,6-10K,山东贝赛信息科技,Python
餐补，交通补助，零食下午茶，五险一金，带薪年假，定期体检，年终奖,python实施工程师,7-10K,拓锐科技,机器人
员工旅游，餐补，定期体检，五险一金，节日福利，零食下午茶，通讯补贴，包吃,python课程设计师,6-11K·13薪,育酷教育科技,教研教师理科信息学小学教育
带薪年假，住房补贴，五险一金，试用期同薪，加班补助，股票期权，节日福利，通讯补贴，交通补助，补充医疗保险，定期体检，六险一金，年终奖，餐补，零食下午茶,数据运营,8-13K·15薪,今日头条,BI数据分析SQL销售数据运营Python行业数据分析TO B商业分析
定期体检，五险一金，补充医疗保险,数据运营,11-20K·13薪,滴滴,PythonSQLExcelBI
定期体检，五险一金，免费班车，节日福利，餐补，零食下午茶，加班补助，年终奖，员工旅游，交通补助，带薪年假,Python开发工程师,5-9K,软通动力信息技术集团,SQLPostgreSQLMySQLDjangoFlask
节日福利，五险一金，年终奖，补充医疗保险，带薪年假，定期体检，通讯补贴，免费班车,测试工程师,8-13K·13薪,亚信科技,测试软件测试测试工程师功能测试
加班补助，年终奖，五险一金，补充医疗保险，节日福利，定期体检，13～15薪，餐补，交通补助,Python开发工程师,10-15K·13薪,济南信通达,PythonLuaPython工程师多线程服务器配置多进程深度学习算法C++
员工旅游，餐补，加班补助，节日福利，定期体检，带薪年假，零食下午茶，免费班车，五险一金，年终奖,数据开发工程师（银行）,12-20K,中软国际,SQLPythonDB2MySQLHadoopSparkBI监管报送
补充医疗保险，加班补助，五险一金，零食下午茶，全勤奖，员工旅游，节日福利，交通补助，股票期权，带薪年假，年终奖，通讯补贴，定期体检,Python开发工程师,10-15K·14薪,浪潮云ERP,Python
带薪年假，五险一金，餐补，股票期权，零食下午茶，通讯补贴，员工旅游，补充医疗保险，节日福利，购房无息贷款，交通补助，定期体检，年终奖,软件测试工程师(测试中心),8-13K,浙江宇视科技,软件测试性能测试功能测试
补充医疗保险，五险一金，加班补助，宵夜，股票期权，零食下午茶，交通补助，定期体检，员工旅游，节日福利，带薪年假，年终奖，免费班车,Java,15-30K·14薪,华为,分布式技术微服务架构数据结构架构师计算机软件大数据云计算后端开发
