标题,得分,演员,链接地址
复仇者联盟4：终局之战,8.5,小罗伯特·唐尼  克里斯·埃文斯  马克·鲁弗洛  克里斯·海姆斯沃斯  乔什·布洛林,https://movie.douban.com/subject/26100958/
战狼2,7.1,吴京  弗兰克·格里罗  吴刚  张翰  卢靖姗,https://movie.douban.com/subject/26363254/
无双,8.1,周润发  郭富城  张静初  冯文娟  廖启智,https://movie.douban.com/subject/26425063/
飞驰人生,6.9,沈腾  黄景瑜  尹正  张本煜  尹昉,https://movie.douban.com/subject/30163509/
唐伯虎点秋香,8.7,周星驰  巩俐  陈百祥  郑佩佩  朱咪咪,https://movie.douban.com/subject/1306249/
美丽人生,9.5,罗伯托·贝尼尼  尼可莱塔·布拉斯基  乔治·坎塔里尼  朱斯蒂诺·杜拉诺  赛尔乔·比尼·布斯特里克,https://movie.douban.com/subject/1292063/
夏洛特烦恼,7.7,沈腾  马丽  尹正  艾伦  王智,https://movie.douban.com/subject/25964071/
那些年，我们一起追的女孩,8.1,柯震东  陈妍希  敖犬  郝劭文  蔡昌宪,https://movie.douban.com/subject/4920528/
初恋这件小事,8.4,平采娜·乐维瑟派布恩  马里奥·毛瑞尔  苏达拉·布查蓬  雅尼卡·桑普蕾舞  诺特·阿查拉那·阿瑞亚卫考,https://movie.douban.com/subject/4739952/
复仇者联盟,8.2,小罗伯特·唐尼  克里斯·埃文斯  斯嘉丽·约翰逊  克里斯·海姆斯沃斯  杰瑞米·雷纳,https://movie.douban.com/subject/1866479/
剪刀手爱德华,8.7,约翰尼·德普  薇诺娜·瑞德  黛安·韦斯特  安东尼·迈克尔·豪尔  凯西·贝克,https://movie.douban.com/subject/1292370/
寄生虫,8.8,宋康昊  李善均  曹如晶  崔宇植  朴素丹,https://movie.douban.com/subject/27010768/
看不见的客人,8.8,马里奥·卡萨斯  阿娜·瓦格纳  何塞·科罗纳多  巴巴拉·莱涅  弗兰塞斯克·奥雷利亚,https://movie.douban.com/subject/26580232/
神偷奶爸,8.6,史蒂夫·卡瑞尔  杰森·席格尔  拉塞尔·布兰德  朱莉·安德鲁斯  威尔·阿奈特,https://movie.douban.com/subject/3287562/
功夫,8.7,周星驰  元秋  元华  黄圣依  梁小龙,https://movie.douban.com/subject/1291543/
哈利·波特与魔法石,9.1,丹尼尔·雷德克里夫  艾玛·沃森  鲁伯特·格林特  艾伦·瑞克曼  玛吉·史密斯,https://movie.douban.com/subject/1295038/
陈情令,7.7,肖战  王一博  孟子义  宣璐  于斌,https://movie.douban.com/subject/27195020/
