movie_id,电影名,电影类型,导演演员信息,发行日期,制片国家,评分,评论数,排名
https://movie.douban.com/subject/1291552/,指环王3：王者无敌,剧情动作奇幻冒险,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...,2003,美国新西兰,9.2,606318,33
https://movie.douban.com/subject/1295038/,哈利·波特与魔法石,奇幻冒险,导演:ChrisColumbus主演:DanielRadcliffe/EmmaWatson/RupertGrint,2001,美国英国,9.1,846692,34
https://movie.douban.com/subject/2129039/,飞屋环游记,剧情喜剧动画冒险,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson主演:爱德...,2009,美国,9.0,1070942,35
https://movie.douban.com/subject/26387939/,摔跤吧！爸爸,剧情传记运动家庭,导演:涅提·蒂瓦里NiteshTiwari主演:阿米尔·汗AamirKhan/法缇玛...,2016,印度,9.0,1263907,36
https://movie.douban.com/subject/21937452/,素媛,剧情,导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...,2013,韩国,9.3,524755,37
https://movie.douban.com/subject/1929463/,少年派的奇幻漂流,剧情奇幻冒险,导演:李安AngLee主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...,2012,美国中国台湾英国加拿大,9.1,1123389,38
https://movie.douban.com/subject/1293182/,十二怒汉,剧情,导演:SidneyLumet主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,1957,美国,9.4,368840,39
https://movie.douban.com/subject/1308807/,哈尔的移动城堡,动画奇幻冒险,导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaishô/木村拓...,2004,日本,9.1,793787,40
https://movie.douban.com/subject/1291858/,鬼子来了,剧情喜剧,导演:姜文WenJiang主演:姜文WenJiang/香川照之TeruyukiKagawa/...,2000,中国大陆,9.3,493545,41
https://movie.douban.com/subject/1291583/,天空之城,动画奇幻冒险,导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka/横泽启子Ke...,1986,日本,9.1,672659,42
https://movie.douban.com/subject/1299398/,大话西游之月光宝盒,喜剧爱情奇幻古装,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...,1995,中国香港中国大陆,9.0,979879,43
https://movie.douban.com/subject/26752088/,我不是药神,剧情喜剧,导演:文牧野MuyeWen主演:徐峥ZhengXu/王传君ChuanjunWang/周...,2018,中国大陆,9.0,1681936,44
https://movie.douban.com/subject/1293839/,罗马假日,喜剧剧情爱情,导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn/格...,1953,美国,9.0,779338,45
https://movie.douban.com/subject/1298624/,闻香识女人,剧情,导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino/克里斯...,1992,美国,9.1,682064,46
https://movie.douban.com/subject/1291828/,天堂电影院,剧情爱情,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:菲利普·努瓦雷Philipp...,1988,意大利法国,9.2,512729,47
https://movie.douban.com/subject/21937445/,辩护人,剧情,导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong/金英爱Yeong-ae...,2013,韩国,9.2,487620,48
https://movie.douban.com/subject/1305487/,猫鼠游戏,传记犯罪剧情,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...,2002,美国加拿大,9.0,698963,49
https://movie.douban.com/subject/1418019/,大闹天宫,1978(中国大陆),导演:万籁鸣LaimingWan/唐澄ChengTang主演:邱岳峰YuefengQiu/...,1961(中国大陆),1964(中国大陆),9.4,326995,50
https://movie.douban.com/subject/1292000/,搏击俱乐部,剧情动作悬疑惊悚,导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton/布拉...,1999,美国德国意大利,9.0,688255,51
https://movie.douban.com/subject/1299131/,教父2,剧情犯罪,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...,1974,美国,9.2,420056,52
https://movie.douban.com/subject/1301753/,狮子王,动画冒险歌舞,导演:RogerAllers/罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...,1994,美国,9.0,658072,53
https://movie.douban.com/subject/1291572/,指环王2：双塔奇兵,剧情动作奇幻冒险,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...,2002,美国新西兰,9.1,553940,54
https://movie.douban.com/subject/1296736/,钢琴家,剧情传记战争音乐,导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...,2002,英国法国波兰德国美国,9.2,436710,55
https://movie.douban.com/subject/1291548/,死亡诗社,剧情,导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams/罗伯...,1989,美国,9.1,554509,56
https://movie.douban.com/subject/1291843/,黑客帝国,动作科幻,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski主...,1999,美国澳大利亚,9.0,637569,57
https://movie.douban.com/subject/1291571/,指环王1：魔戒再现,剧情动作奇幻冒险,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...,2001,新西兰美国,9.0,621165,58
https://movie.douban.com/subject/1291818/,饮食男女,剧情家庭,导演:李安AngLee主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...,1994,中国台湾美国,9.1,466819,59
https://movie.douban.com/subject/1306029/,美丽心灵,传记剧情,导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe/艾德·哈...,2001,美国,9.0,606114,60
https://movie.douban.com/subject/3742360/,让子弹飞,剧情喜剧动作西部,导演:姜文WenJiang主演:姜文WenJiang/葛优YouGe/周润发Yun-F...,2010,中国大陆中国香港,8.8,1290419,61
https://movie.douban.com/subject/1900841/,窃听风暴,剧情悬疑,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck&n...,2006,德国,9.2,450365,62
https://movie.douban.com/subject/27060077/,绿皮书,剧情喜剧传记,导演:彼得·法雷里PeterFarrelly主演:维果·莫腾森ViggoMortensen/...,2018,美国中国大陆,8.9,1240415,63
https://movie.douban.com/subject/1293350/,两杆大烟枪,剧情喜剧犯罪,导演:GuyRitchie主演:JasonFlemyng/DexterFletcher/NickMoran,1998,英国,9.1,484902,64
https://movie.douban.com/subject/1485260/,本杰明·巴顿奇事,剧情爱情奇幻,导演:大卫·芬奇DavidFincher主演:凯特·布兰切特CateBlanchett/...,2008,美国,8.9,786086,65
